Employer Name,Employer Industry,Website,Division,Employment Types,Jobs on Handshake,Job Titles,Majors,Major Groups,Combined Majors,Job Types,School Years,US work authorization required?,Accepts OPT/CPT candidates?,Willing to sponsor candidate?
Ackerman-Estvold,Civil Engineering,https://www.ackerman-estvold.com/,Architecture/Engineering,Full-Time,,"Civil Engineering- Intern, Landscape Designer, Surveying Tech, ",,"Civil/Environmental Engineering, Construction Engineering, General Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Freshman, Sophomore, Junior, Senior, Masters",TRUE,TRUE,TRUE
"Advanced Engineering and Environmental Services, LLC (AE2S)",Civil Engineering,http://www.ae2s.com,,"Full-Time, Part-Time",,None,,,,"Job, Internship","Sophomore, Junior, Senior, Masters",TRUE,FALSE,FALSE
AKS Engineering & Forestry LLC,Civil Engineering,http://www.aks-eng.com,AKS,Full-Time,,None,,"Civil/Environmental Engineering, Construction Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Freshman, Sophomore, Junior, Senior, Masters",FALSE,FALSE,FALSE
Allwest Testing & Engineering,Engineering & Construction,http://www.allwesttesting.com,,"Full-Time, Part-Time",,"Geotechnical Engineer, Summer Intern 2027,  Engineering Technician",,Civil/Environmental Engineering,"Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS","Job, Internship",,TRUE,TRUE,FALSE
"Apex Companies, LLC",Environmental Services,https://www.apexcos.com,"Forsgren, an Apex Company","Full-Time, Part-Time",,"CAD Designer, Civil Engineer in Training, Civil Project Engineer, Construction Engineer, Water/Wastewater Project Engineer, Structural Engineer, Transportation Engineer, etc.",,"Civil/Environmental Engineering, Construction Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Construction Management, Construction Mgmt BS","Job, Internship","Sophomore, Junior, Senior, Masters",TRUE,TRUE,FALSE
Applied Materials,Electronic & Computer Hardware,https://www.appliedmaterials.com/,University Relations,,,Engineering Interns,,"Computer Engineering, Electrical Engineering, General Engineering, Materials Science & Engineering, Mechanical Engineering","Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Computer Systems Engr BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering",Internship,"Junior, Senior, Masters",TRUE,TRUE,TRUE
Ardurra,Civil Engineering,https://ardurra.com/,,"Full-Time, Part-Time",,None,,,,"Job, Internship","Freshman, Sophomore, Junior, Senior, Masters",TRUE,TRUE,TRUE
Ardurra,Civil Engineering,https://ardurra.com/,Water/Wastewater,Part-Time,,None,,,,,,FALSE,FALSE,FALSE
Army Corps of Engineers,"Government - Local, State & Federal",http://www.nwd.usace.army.mil/Careers/HIP,Hydropower Intern Program,"Full-Time, Part-Time",,Hydropower Intern,,"Electrical Engineering, Mechanical Engineering","Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Sophomore, Junior, Senior",TRUE,FALSE,FALSE
ATS Inland NW,Engineering & Construction,http://www.atsinlandnw.com,,Full-Time,,None,,"Computer Engineering, Construction Engineering, Electrical Engineering, Mechanical Engineering","Computer Engineering, MEngr, Computer Engineering, MS, Computer Systems Engr BS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship",,FALSE,FALSE,FALSE
Border States,Wholesale Trade,https://borderstates.com/careers,,Full-Time,,"Engineering Intern, Alliance Application Engineer",,,,"Job, Internship","Freshman, Sophomore, Junior, Senior, First Year Community / Technical College, Second Year Community / Technical College, Alumni",FALSE,FALSE,FALSE
Brown and Caldwell,Environmental Services,http://www.brownandcaldwell.com,,Full-Time,,2027 Summer Internships,,"Civil/Environmental Engineering, Construction Engineering, Electrical Engineering, General Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering",Internship,"Junior, Senior, Masters",TRUE,TRUE,TRUE
C3 Civil Engineering,Civil Engineering,https://www.c3civileng.com/,,"Full-Time, Part-Time",,None,,,,"Job, Internship","Junior, Senior",TRUE,FALSE,FALSE
Chief Architect Software,Internet & Software,https://www.chiefarchitect.com/,,Full-Time,,None,,,,"Job, Internship",,TRUE,FALSE,FALSE
City of Boise,"Government - Local, State & Federal",http://www.cityofboise.org,City of Boise,Full-Time,,None,,,,"Job, Internship",,TRUE,TRUE,FALSE
Clark Pacific,Civil Engineering,http://www.clarkpacific.com,,"Full-Time, Part-Time",Project Engineer (0-2 years' experience),Project Engineer (0-2 years' experience),,"Civil/Environmental Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering","Job, Internship","Junior, Senior",TRUE,FALSE,FALSE
"Clenera, LLC",Utilities and Renewable Energy,http://Clenera.com,,Full-Time,,None,,"Civil/Environmental Engineering, Construction Engineering, Data Science, Electrical Engineering, General Engineering, Information Systems Management, Materials Science & Engineering, Mechanical Engineering","Artificial Intelligence Sci BS, Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Computer Engineering, MEngr, Computer Engineering, MS, Construction Management, Construction Mgmt BS, Data Science MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Engineering, Engineering Bs, Engineering Undeclared, Information Tech Mgmt BBA, Information Technology Mgmt BS, Materials Science & Engr, Materials Science & Engr BS, Materials Science & Engr, MS, Materials Science & Engr, PhD, Materials Sci & Engr, MEngr, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Engineering, Pre-Mechanical Engineering","Job, Internship","Junior, Senior, Masters, Masters of Business Administration",TRUE,FALSE,FALSE
Copper Roots,Civil Engineering,https://www.linkedin.com/company/copper-roots-inc/,,Full-Time,,Transmission Line Engineer,,"Civil/Environmental Engineering, Electrical Engineering, Mechanical Engineering","Civil Engineering, Civil Engineering BS, Civil Engineering, MEngr, Civil Engineering, MS, Electrical & Computer Engr MS, Electrical&Computer Engr, PhD, Electrical & Computer MEngr, Electrical Engineering, Electrical Engineering BS, Electrical Engineering, MEngr, Electrical Engineering, MS, Mechanical Engineering, Mechanical Engineering BS, Mechanical Engineering, MEngr, Mechanical Engineering, MS, Pre-Mechanical Engineering",Job,"Junior, Senior, Masters, Alumni",TRUE,FALSE,FALSE
